row_id,cache_key,form,arm,i,seed,judge_mentions_bet,judge_direction
R51,Qwen/Qwen2.5-14B-Instruct|B|above_good|99,B,above_good,99,10663,True,correct
R52,Qwen/Qwen2.5-14B-Instruct|B|below_good|50,B,below_good,50,10464,True,unclear
R53,Qwen/Qwen2.5-14B-Instruct|B|above_good|129,B,above_good,129,10693,True,incorrect
R54,Qwen/Qwen2.5-14B-Instruct|B|below_good|116,B,below_good,116,10530,True,unclear
R55,Qwen/Qwen2.5-14B-Instruct|B|above_good|2,B,above_good,2,10566,True,unclear
R56,Qwen/Qwen2.5-14B-Instruct|B|below_good|53,B,below_good,53,10467,True,correct
R57,Qwen/Qwen2.5-14B-Instruct|B|below_good|26,B,below_good,26,10440,True,unclear
R58,Qwen/Qwen2.5-14B-Instruct|B|below_good|97,B,below_good,97,10511,True,correct
R59,Qwen/Qwen2.5-14B-Instruct|B|below_good|112,B,below_good,112,10526,True,correct
R60,Qwen/Qwen2.5-14B-Instruct|B|above_good|13,B,above_good,13,10577,True,correct
R61,Qwen/Qwen2.5-14B-Instruct|B|below_good|95,B,below_good,95,10509,True,correct
R62,Qwen/Qwen2.5-14B-Instruct|B|below_good|101,B,below_good,101,10515,True,correct
R63,Qwen/Qwen2.5-14B-Instruct|B|below_good|144,B,below_good,144,10558,True,unclear
R64,Qwen/Qwen2.5-14B-Instruct|B|below_good|42,B,below_good,42,10456,True,correct
R65,Qwen/Qwen2.5-14B-Instruct|B|below_good|39,B,below_good,39,10453,True,incorrect
R66,Qwen/Qwen2.5-14B-Instruct|B|above_good|81,B,above_good,81,10645,True,unclear
R67,Qwen/Qwen2.5-14B-Instruct|B|above_good|28,B,above_good,28,10592,True,incorrect
R68,Qwen/Qwen2.5-14B-Instruct|B|above_good|49,B,above_good,49,10613,True,incorrect
R69,Qwen/Qwen2.5-14B-Instruct|B|below_good|121,B,below_good,121,10535,True,incorrect
R70,Qwen/Qwen2.5-14B-Instruct|B|above_good|22,B,above_good,22,10586,True,incorrect
