form,arm,i,seed,direction,mentions_bet,n_good_cause,n_bad_cause,has_mapping_string,first_mapping_string,first_mapping_char_offset,n_output_tokens
A,below_good,0,3064,correct,True,1,0,1,good cause,986,276
A,below_good,1,3065,correct,True,0,1,1,bad cause,1670,433
A,below_good,2,3066,unclear,True,0,0,0,,-1,354
A,below_good,3,3067,correct,True,0,0,0,,-1,355
A,below_good,4,3068,correct,True,1,0,1,good cause,787,264
A,below_good,5,3069,correct,True,1,0,1,good cause,1069,304
A,below_good,6,3070,correct,True,0,0,0,,-1,484
A,below_good,7,3071,correct,True,0,1,1,bad cause,1047,312
A,below_good,8,3072,correct,True,0,1,1,bad cause,1032,381
A,below_good,9,3073,correct,True,0,0,0,,-1,318
A,below_good,10,3074,correct,True,1,0,1,good cause,799,234
A,below_good,11,3075,unclear,True,0,0,0,,-1,261
A,below_good,12,3076,correct,True,1,0,1,good cause,1137,308
A,below_good,13,3077,unclear,True,0,0,0,,-1,294
A,below_good,14,3078,correct,True,1,0,1,good cause,1142,311
A,below_good,15,3079,correct,True,0,1,1,bad cause,1501,460
A,below_good,16,3080,correct,True,1,0,1,good cause,1116,316
A,below_good,17,3081,correct,True,1,0,1,good cause,882,243
A,below_good,18,3082,correct,True,0,1,1,bad cause,921,254
A,below_good,19,3083,correct,True,0,0,0,,-1,294
A,below_good,20,3084,correct,True,1,0,1,good cause,896,245
A,below_good,21,3085,correct,True,0,0,0,,-1,319
A,below_good,22,3086,correct,True,1,0,1,good cause,1417,377
A,below_good,23,3087,correct,True,0,1,1,bad cause,1931,495
A,below_good,24,3088,correct,True,1,0,1,good cause,771,221
A,below_good,25,3089,correct,True,0,1,1,bad cause,1223,358
A,below_good,26,3090,correct,True,0,1,1,bad cause,1542,409
A,below_good,27,3091,correct,True,0,1,1,bad cause,980,306
A,below_good,28,3092,correct,True,0,1,1,bad cause,1279,357
A,below_good,29,3093,correct,True,0,0,0,,-1,317
A,below_good,30,3094,correct,True,1,0,1,good cause,1327,402
A,below_good,31,3095,correct,True,0,0,0,,-1,583
A,below_good,32,3096,correct,True,1,0,1,good cause,1050,311
A,below_good,33,3097,correct,True,0,0,0,,-1,380
A,below_good,34,3098,correct,True,0,1,1,bad cause,1333,348
A,below_good,35,3099,correct,True,0,1,1,bad cause,1031,462
A,below_good,36,3100,correct,True,0,1,1,bad cause,1340,402
A,below_good,37,3101,unclear,True,0,0,0,,-1,302
A,below_good,38,3102,correct,True,0,1,1,bad cause,1251,346
A,below_good,39,3103,correct,True,1,0,1,good cause,1209,342
A,below_good,40,3104,correct,True,1,0,1,good cause,1359,385
A,below_good,41,3105,correct,True,0,1,1,bad cause,1473,420
A,below_good,42,3106,unclear,True,0,0,0,,-1,456
A,below_good,43,3107,correct,True,0,1,1,bad cause,1165,372
A,below_good,44,3108,correct,True,0,0,0,,-1,539
A,below_good,45,3109,correct,True,0,1,1,bad cause,1941,518
A,below_good,46,3110,correct,True,0,0,0,,-1,464
A,below_good,47,3111,correct,True,1,0,1,good cause,1267,345
A,below_good,48,3112,unclear,True,0,0,0,,-1,327
A,below_good,49,3113,unclear,True,0,0,0,,-1,331
A,below_good,50,3114,correct,True,1,0,1,good cause,991,267
A,below_good,51,3115,unclear,True,0,0,0,,-1,497
A,below_good,52,3116,correct,True,0,0,0,,-1,306
A,below_good,53,3117,correct,True,0,1,1,bad cause,1697,512
A,below_good,54,3118,correct,True,1,0,1,good cause,1049,342
A,below_good,55,3119,correct,True,1,0,1,good cause,1608,419
A,below_good,56,3120,correct,True,1,0,1,good cause,1210,372
A,below_good,57,3121,correct,True,1,0,1,good cause,1084,293
A,below_good,58,3122,correct,True,1,0,1,good cause,1104,312
A,below_good,59,3123,unclear,True,0,0,0,,-1,397
A,below_good,60,3124,correct,True,1,0,1,good cause,1195,326
A,below_good,61,3125,correct,True,1,0,1,good cause,948,273
A,below_good,62,3126,correct,True,0,1,1,bad cause,1169,334
A,below_good,63,3127,correct,True,1,0,1,good cause,1118,306
A,below_good,64,3128,unclear,True,0,0,0,,-1,315
A,below_good,65,3129,correct,True,1,0,1,good cause,1412,369
A,below_good,66,3130,correct,True,0,0,0,,-1,438
A,below_good,67,3131,correct,True,1,0,1,good cause,1592,413
A,below_good,68,3132,correct,True,1,0,1,good cause,1149,315
A,below_good,69,3133,unclear,True,0,0,0,,-1,262
A,below_good,70,3134,unclear,True,1,0,1,good cause,1165,314
A,below_good,71,3135,correct,True,0,1,1,bad cause,1415,386
A,below_good,72,3136,correct,True,1,0,1,good cause,1244,348
A,below_good,73,3137,correct,True,0,1,1,bad cause,1210,399
A,below_good,74,3138,correct,True,1,0,1,good cause,1093,310
A,below_good,75,3139,correct,True,1,0,1,good cause,1611,422
A,below_good,76,3140,correct,True,1,0,1,good cause,1134,298
A,below_good,77,3141,correct,True,0,1,1,bad cause,1278,341
A,below_good,78,3142,correct,True,1,0,1,good cause,1272,322
A,below_good,79,3143,correct,True,1,0,1,good cause,1106,310
A,below_good,80,3144,correct,True,0,0,0,,-1,316
A,below_good,81,3145,unclear,True,0,0,0,,-1,324
A,below_good,82,3146,correct,True,1,0,1,good cause,1515,374
A,below_good,83,3147,correct,True,0,1,1,bad cause,1001,288
A,below_good,84,3148,correct,True,0,1,1,bad cause,1121,314
A,below_good,85,3149,correct,True,1,0,1,good cause,1239,334
A,below_good,86,3150,correct,True,1,0,1,good cause,1063,327
A,below_good,87,3151,correct,True,0,1,1,bad cause,969,353
A,below_good,88,3152,correct,True,1,0,1,good cause,1011,294
A,below_good,89,3153,correct,True,0,0,0,,-1,591
A,below_good,90,3154,unclear,True,0,0,0,,-1,314
A,below_good,91,3155,correct,True,0,0,0,,-1,482
A,below_good,92,3156,correct,True,0,1,1,bad cause,1305,427
A,below_good,93,3157,correct,True,0,1,1,bad cause,1736,493
A,below_good,94,3158,correct,True,0,1,1,bad cause,1653,416
A,below_good,95,3159,correct,True,0,1,1,bad cause,868,285
A,below_good,96,3160,correct,True,2,0,1,good cause,948,259
A,below_good,97,3161,correct,True,1,0,1,good cause,1044,255
A,below_good,98,3162,correct,True,1,0,1,good cause,1376,358
A,below_good,99,3163,correct,True,1,0,1,good cause,1241,333
A,below_good,100,3164,unclear,True,0,0,0,,-1,318
A,below_good,101,3165,correct,True,1,0,1,good cause,1457,347
A,below_good,102,3166,correct,True,1,0,1,good cause,1334,363
