row_id,cache_key,form,arm,i,seed,judge_mentions_bet,judge_direction
R01,Qwen/Qwen2.5-14B-Instruct|B|above_good|76,B,above_good,76,7140,True,unclear
R02,Qwen/Qwen2.5-14B-Instruct|A|above_good|116,A,above_good,116,4180,True,incorrect
R03,Qwen/Qwen2.5-14B-Instruct|A|above_good|67,A,above_good,67,4131,True,unclear
R04,Qwen/Qwen2.5-14B-Instruct|A|above_good|131,A,above_good,131,4195,True,correct
R05,Qwen/Qwen2.5-14B-Instruct|A|above_good|19,A,above_good,19,4083,True,incorrect
R06,Qwen/Qwen2.5-14B-Instruct|B|above_good|137,B,above_good,137,7201,True,correct
R07,Qwen/Qwen2.5-14B-Instruct|A|above_good|77,A,above_good,77,4141,True,unclear
R08,Qwen/Qwen2.5-14B-Instruct|B|above_good|65,B,above_good,65,7129,True,incorrect
R09,Qwen/Qwen2.5-14B-Instruct|B|below_good|29,B,below_good,29,6093,True,correct
R10,Qwen/Qwen2.5-14B-Instruct|B|above_good|61,B,above_good,61,7125,True,incorrect
R11,Qwen/Qwen2.5-14B-Instruct|B|below_good|69,B,below_good,69,6133,True,correct
R12,Qwen/Qwen2.5-14B-Instruct|A|above_good|5,A,above_good,5,4069,True,unclear
R13,Qwen/Qwen2.5-14B-Instruct|B|below_good|60,B,below_good,60,6124,True,unclear
R14,Qwen/Qwen2.5-14B-Instruct|B|below_good|0,B,below_good,0,6064,True,incorrect
R15,Qwen/Qwen2.5-14B-Instruct|B|above_good|143,B,above_good,143,7207,True,unclear
R16,Qwen/Qwen2.5-14B-Instruct|A|above_good|98,A,above_good,98,4162,True,correct
R17,Qwen/Qwen2.5-14B-Instruct|B|below_good|9,B,below_good,9,6073,True,unclear
R18,Qwen/Qwen2.5-14B-Instruct|A|above_good|94,A,above_good,94,4158,True,unclear
R19,Qwen/Qwen2.5-14B-Instruct|B|above_good|17,B,above_good,17,7081,True,unclear
R20,Qwen/Qwen2.5-14B-Instruct|B|above_good|83,B,above_good,83,7147,True,correct
R21,Qwen/Qwen2.5-14B-Instruct|B|below_good|38,B,below_good,38,6102,True,correct
R22,Qwen/Qwen2.5-14B-Instruct|A|above_good|9,A,above_good,9,4073,True,correct
R23,Qwen/Qwen2.5-14B-Instruct|B|above_good|70,B,above_good,70,7134,True,incorrect
R24,Qwen/Qwen2.5-14B-Instruct|A|below_good|30,A,below_good,30,3094,True,correct
R25,Qwen/Qwen2.5-14B-Instruct|A|below_good|31,A,below_good,31,3095,True,correct
R26,Qwen/Qwen2.5-14B-Instruct|A|below_good|70,A,below_good,70,3134,True,unclear
R27,Qwen/Qwen2.5-14B-Instruct|B|above_good|78,B,above_good,78,7142,False,unclear
R28,Qwen/Qwen2.5-14B-Instruct|A|below_good|68,A,below_good,68,3132,True,correct
R29,Qwen/Qwen2.5-14B-Instruct|A|above_good|93,A,above_good,93,4157,True,unclear
R30,Qwen/Qwen2.5-14B-Instruct|B|above_good|146,B,above_good,146,7210,True,incorrect
R31,Qwen/Qwen2.5-14B-Instruct|A|above_good|17,A,above_good,17,4081,True,unclear
R32,Qwen/Qwen2.5-14B-Instruct|B|above_good|95,B,above_good,95,7159,True,incorrect
R33,Qwen/Qwen2.5-14B-Instruct|B|below_good|41,B,below_good,41,6105,True,correct
R34,Qwen/Qwen2.5-14B-Instruct|A|above_good|148,A,above_good,148,4212,True,unclear
R35,Qwen/Qwen2.5-14B-Instruct|B|below_good|43,B,below_good,43,6107,True,correct
R36,Qwen/Qwen2.5-14B-Instruct|B|above_good|88,B,above_good,88,7152,True,unclear
R37,Qwen/Qwen2.5-14B-Instruct|B|above_good|2,B,above_good,2,7066,True,incorrect
R38,Qwen/Qwen2.5-14B-Instruct|B|above_good|79,B,above_good,79,7143,True,correct
R39,Qwen/Qwen2.5-14B-Instruct|B|below_good|70,B,below_good,70,6134,True,incorrect
R40,Qwen/Qwen2.5-14B-Instruct|A|above_good|144,A,above_good,144,4208,True,correct
R41,Qwen/Qwen2.5-14B-Instruct|B|above_good|99,B,above_good,99,7163,True,incorrect
R42,Qwen/Qwen2.5-14B-Instruct|B|above_good|66,B,above_good,66,7130,True,correct
R43,Qwen/Qwen2.5-14B-Instruct|A|above_good|124,A,above_good,124,4188,True,correct
R44,Qwen/Qwen2.5-14B-Instruct|A|below_good|146,A,below_good,146,3210,True,correct
R45,Qwen/Qwen2.5-14B-Instruct|B|below_good|111,B,below_good,111,6175,True,correct
R46,Qwen/Qwen2.5-14B-Instruct|A|below_good|112,A,below_good,112,3176,True,correct
R47,Qwen/Qwen2.5-14B-Instruct|A|above_good|21,A,above_good,21,4085,True,incorrect
R48,Qwen/Qwen2.5-14B-Instruct|B|above_good|102,B,above_good,102,7166,True,incorrect
R49,Qwen/Qwen2.5-14B-Instruct|B|above_good|54,B,above_good,54,7118,True,incorrect
R50,Qwen/Qwen2.5-14B-Instruct|B|below_good|56,B,below_good,56,6120,True,incorrect
