id,name,command,status,detail
SK-1,extractor coverage: both extractors in every source CSV,python3 src/w10_skeptic.py   [section extractor_coverage],PASS,no exception
SK-2,dose-response monotonicity (W7 ladder) and dose flatness (W7b),python3 src/w10_skeptic.py   [section dose],PASS,"W7 monotone_non_decreasing=False, inverted_U_on_sham=True; W7b |alpha|=0.25 0.470 vs |alpha|=0.50 0.476, Fisher p=1.000"
SK-3,"coherence per arm (well-formedness ONLY, D-029 attached)",python3 src/w10_skeptic.py   [section coherence],PASS,W7 22/23 arms at 1.000 (min 0.980); W7b 12/12 at 1.000; 0 degenerate in 1750 generations; 0 arms below PR-005 item 4c's 80% line
SK-4,tie-convention sensitivity (W2's 36-tie case; W3 both forms),python3 src/w10_skeptic.py   [section ties],PASS,"W2: 0 verdict flip(s) -- Qwen3-8B judge has 36 ties at tau and the gap moves +0.12 -> +0.16 with the verdict unchanged; W3: 1 verdict flip(s) (form B, judge)"
SK-5,D-016 corrected-vs-raw bases reported wherever a landing number is cited,python3 src/w10_skeptic.py   [section bases],PASS,W3 raw disagreement A 52.3% / B 42.3% against corrected 1.0% / 0.7%; W7 and W7b carry both bases on every arm: True
SK-6,W7b arm homogeneity and the flat direction-independent offset,python3 src/w10_skeptic.py   [section w7b_homogeneity],PASS,chi2=16.38 dof=11 p=0.128 over 12 arms; pooled 285/600=0.475; v_phat arms 0.440 vs random arms 0.492; pooled vs sham Fisher p=0.0075
SK-7,"D_bar's null floor -- exact recount of D-032's 200,000-draw simulation",python3 src/w10_skeptic.py   [section dbar_floor],PASS,"under a design doing nothing at all: E[D_bar]=0.0782 and P(D_bar>0.06)=0.648, rising to 0.689 at-or-on the line (D-032's simulation reported 0.078 and 0.662; D_bar is lattice-valued and 0.06 is one of its atoms)"
SK-8,"text-level screens: verbalized injected preference, D-029 fabrication",python3 src/w10_skeptic.py   [section text_screens],PASS,"verbalized injected preference 0/600 (W7b) and 0/1150 (W7); the D-029 fabrication screen fires 3/600 at low dose, 0/50 at the sham, 9/50 at alpha=+4"
SK-9,seed-block disjointness and generation totals,python3 src/w10_skeptic.py   [section seeds],PASS,"W7 1150 seeds 8064-9213, W7b 600 seeds 9214-9813, all distinct and contiguous, 0 collisions with each other or with W1/W2/W3"
SK-10,regenerability: every committed recount/selftest still runs and matches,python3 src/w10_skeptic.py   [section regenerability],PASS,7/7 commands exit 0; 1 need the project venv rather than bare python3 (form-B prompt selftest)
